# StandardizedVariants-15.0.0.txt
# Date: 2022-08-16, 19:08:00 GMT [KW]
# © 2022 Unicode®, Inc.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Specification of the variation sequences that are defined in the
# Unicode Standard.
#
# This file is a normative contributory data file in the
# Unicode Character Database.
#
# Standardized variation sequences are defined in this file.
#
# Ideographic variation sequences are defined according to the registration
# process specified in UTS #37, and are listed in the Ideographic
# Variation Database.
#
# Emoji variation sequences are defined in the file
# emoji-variation-sequences.txt, documented in UTS #51, Unicode Emoji.
#
# Only those three types of variation sequences
# are sanctioned for use by conformant implementations.
# In all other cases, use of a variation selector character does
# not change the visual appearance of the preceding base character
# from what it would have had in the absence of the variation selector.
#
# For more information on standardized variation sequences,
# see Section 23.4, Variation Selectors,
# in The Unicode Standard, Version 15.0.
#
# For more information on the Ideographic Variation Database,
# see https://www.unicode.org/ivd/
#
# For more information on emoji variation sequences,
# see https://www.unicode.org/reports/tr51/
#
# Format:
#   Field 0: the variation sequence
#   Field 1: the description of the desired appearance
#   Field 2: where the appearance is only different in particular shaping environments
#	this field lists them. The possible values are: isolate, initial, medial, final.
#	If more than one is present, there are spaces between them.
# =============================

# Mathematical

0030 FE00; short diagonal stroke form; # DIGIT ZERO
6CE5 FE00; CJK COMPATIBILITY IDEOGRAPH-F9E3;
6D16 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8FF;
6D1B FE00; CJK COMPATIBILITY IDEOGRAPH-F915;
6D1E FE00; CJK COMPATIBILITY IDEOGRAPH-FA05;
6D34 FE00; CJK COMPATIBILITY IDEOGRAPH-2F907;
6D3E FE00; CJK COMPATIBILITY IDEOGRAPH-2F900;
6D41 FE00; CJK COMPATIBILITY IDEOGRAPH-F9CA;
6D41 FE01; CJK COMPATIBILITY IDEOGRAPH-FA97;
6D41 FE02; CJK COMPATIBILITY IDEOGRAPH-2F902;
6D69 FE00; CJK COMPATIBILITY IDEOGRAPH-2F903;
6D6A FE00; CJK COMPATIBILITY IDEOGRAPH-F92A;
6D77 FE00; CJK COMPATIBILITY IDEOGRAPH-FA45;
6D77 FE01; CJK COMPATIBILITY IDEOGRAPH-2F901;
6D78 FE00; CJK COMPATIBILITY IDEOGRAPH-2F904;
6D85 FE00; CJK COMPATIBILITY IDEOGRAPH-2F905;
6DCB FE00; CJK COMPATIBILITY IDEOGRAPH-F9F5;
6DDA FE00; CJK COMPATIBILITY IDEOGRAPH-F94D;
6DEA FE00; CJK COMPATIBILITY IDEOGRAPH-F9D6;
6DF9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F90E;
6E1A FE00; CJK COMPATIBILITY IDEOGRAPH-FA46;
6E2F FE00; CJK COMPATIBILITY IDEOGRAPH-2F908;
6E6E FE00; CJK COMPATIBILITY IDEOGRAPH-2F909;
6E9C FE00; CJK COMPATIBILITY IDEOGRAPH-F9CB;
6EBA FE00; CJK COMPATIBILITY IDEOGRAPH-F9EC;
6EC7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F90C;
6ECB FE00; CJK COMPATIBILITY IDEOGRAPH-FA99;
6ECB FE01; CJK COMPATIBILITY IDEOGRAPH-2F90B;
6ED1 FE00; CJK COMPATIBILITY IDEOGRAPH-F904;
6EDB FE00; CJK COMPATIBILITY IDEOGRAPH-FA98;
6F0F FE00; CJK COMPATIBILITY IDEOGRAPH-F94E;
6F22 FE00; CJK COMPATIBILITY IDEOGRAPH-FA47;
6F22 FE01; CJK COMPATIBILITY IDEOGRAPH-FA9A;
6F23 FE00; CJK COMPATIBILITY IDEOGRAPH-F992;
6F6E FE00; CJK COMPATIBILITY IDEOGRAPH-2F90F;
6FC6 FE00; CJK COMPATIBILITY IDEOGRAPH-2F912;
6FEB FE00; CJK COMPATIBILITY IDEOGRAPH-F922;
6FFE FE00; CJK COMPATIBILITY IDEOGRAPH-F984;
701B FE00; CJK COMPATIBILITY IDEOGRAPH-2F915;
701E FE00; CJK COMPATIBILITY IDEOGRAPH-FA9B;
701E FE01; CJK COMPATIBILITY IDEOGRAPH-2F914;
7039 FE00; CJK COMPATIBILITY IDEOGRAPH-2F913;
704A FE00; CJK COMPATIBILITY IDEOGRAPH-2F917;
7070 FE00; CJK COMPATIBILITY IDEOGRAPH-2F835;
7077 FE00; CJK COMPATIBILITY IDEOGRAPH-2F919;
707D FE00; CJK COMPATIBILITY IDEOGRAPH-2F918;
7099 FE00; CJK COMPATIBILITY IDEOGRAPH-F9FB;
70AD FE00; CJK COMPATIBILITY IDEOGRAPH-2F91A;
70C8 FE00; CJK COMPATIBILITY IDEOGRAPH-F99F;
70D9 FE00; CJK COMPATIBILITY IDEOGRAPH-F916;
7145 FE00; CJK COMPATIBILITY IDEOGRAPH-2F91C;
7149 FE00; CJK COMPATIBILITY IDEOGRAPH-F993;
716E FE00; CJK COMPATIBILITY IDEOGRAPH-FA48;
716E FE01; CJK COMPATIBILITY IDEOGRAPH-FA9C;
719C FE00; CJK COMPATIBILITY IDEOGRAPH-2F91E;
71CE FE00; CJK COMPATIBILITY IDEOGRAPH-F9C0;
71D0 FE00; CJK COMPATIBILITY IDEOGRAPH-F9EE;
7210 FE00; CJK COMPATIBILITY IDEOGRAPH-F932;
721B FE00; CJK COMPATIBILITY IDEOGRAPH-F91E;
7228 FE00; CJK COMPATIBILITY IDEOGRAPH-2F920;
722B FE00; CJK COMPATIBILITY IDEOGRAPH-FA49;
7235 FE00; CJK COMPATIBILITY IDEOGRAPH-FA9E;
7235 FE01; CJK COMPATIBILITY IDEOGRAPH-2F921;
7250 FE00; CJK COMPATIBILITY IDEOGRAPH-2F922;
7262 FE00; CJK COMPATIBILITY IDEOGRAPH-F946;
7280 FE00; CJK COMPATIBILITY IDEOGRAPH-2F924;
7295 FE00; CJK COMPATIBILITY IDEOGRAPH-2F925;
72AF FE00; CJK COMPATIBILITY IDEOGRAPH-FA9F;
72C0 FE00; CJK COMPATIBILITY IDEOGRAPH-F9FA;
72FC FE00; CJK COMPATIBILITY IDEOGRAPH-F92B;
732A FE00; CJK COMPATIBILITY IDEOGRAPH-FA16;
732A FE01; CJK COMPATIBILITY IDEOGRAPH-FAA0;
7375 FE00; CJK COMPATIBILITY IDEOGRAPH-F9A7;
737A FE00; CJK COMPATIBILITY IDEOGRAPH-2F928;
7387 FE00; CJK COMPATIBILITY IDEOGRAPH-F961;
7387 FE01; CJK COMPATIBILITY IDEOGRAPH-F9DB;
738B FE00; CJK COMPATIBILITY IDEOGRAPH-2F929;
73A5 FE00; CJK COMPATIBILITY IDEOGRAPH-2F92B;
73B2 FE00; CJK COMPATIBILITY IDEOGRAPH-F9AD;
73DE FE00; CJK COMPATIBILITY IDEOGRAPH-F917;
7406 FE00; CJK COMPATIBILITY IDEOGRAPH-F9E4;
7409 FE00; CJK COMPATIBILITY IDEOGRAPH-F9CC;
7422 FE00; CJK COMPATIBILITY IDEOGRAPH-FA4A;
7447 FE00; CJK COMPATIBILITY IDEOGRAPH-2F92E;
745C FE00; CJK COMPATIBILITY IDEOGRAPH-2F92F;
7469 FE00; CJK COMPATIBILITY IDEOGRAPH-F9AE;
7471 FE00; CJK COMPATIBILITY IDEOGRAPH-FAA1;
7471 FE01; CJK COMPATIBILITY IDEOGRAPH-2F930;
7485 FE00; CJK COMPATIBILITY IDEOGRAPH-2F931;
7489 FE00; CJK COMPATIBILITY IDEOGRAPH-F994;
7498 FE00; CJK COMPATIBILITY IDEOGRAPH-F9EF;
74CA FE00; CJK COMPATIBILITY IDEOGRAPH-2F932;
7506 FE00; CJK COMPATIBILITY IDEOGRAPH-FAA2;
7524 FE00; CJK COMPATIBILITY IDEOGRAPH-2F934;
753B FE00; CJK COMPATIBILITY IDEOGRAPH-FAA3;
753E FE00; CJK COMPATIBILITY IDEOGRAPH-2F936;
7559 FE00; CJK COMPATIBILITY IDEOGRAPH-F9CD;
7565 FE00; CJK COMPATIBILITY IDEOGRAPH-F976;
7570 FE00; CJK COMPATIBILITY IDEOGRAPH-F962;
7570 FE01; CJK COMPATIBILITY IDEOGRAPH-2F938;
75E2 FE00; CJK COMPATIBILITY IDEOGRAPH-F9E5;
7610 FE00; CJK COMPATIBILITY IDEOGRAPH-2F93A;
761D FE00; CJK COMPATIBILITY IDEOGRAPH-FAA4;
761F FE00; CJK COMPATIBILITY IDEOGRAPH-FAA5;
7642 FE00; CJK COMPATIBILITY IDEOGRAPH-F9C1;
7669 FE00; CJK COMPATIBILITY IDEOGRAPH-F90E;
76CA FE00; CJK COMPATIBILITY IDEOGRAPH-FA17;
76CA FE01; CJK COMPATIBILITY IDEOGRAPH-FAA6;
76DB FE00; CJK COMPATIBILITY IDEOGRAPH-FAA7;
76E7 FE00; CJK COMPATIBILITY IDEOGRAPH-F933;
76F4 FE00; CJK COMPATIBILITY IDEOGRAPH-FAA8;
76F4 FE01; CJK COMPATIBILITY IDEOGRAPH-2F940;
7701 FE00; CJK COMPATIBILITY IDEOGRAPH-F96D;
771E FE00; CJK COMPATIBILITY IDEOGRAPH-2F945;
771F FE00; CJK COMPATIBILITY IDEOGRAPH-2F946;
771F FE01; CJK COMPATIBILITY IDEOGRAPH-2F947;
7740 FE00; CJK COMPATIBILITY IDEOGRAPH-FAAA;
774A FE00; CJK COMPATIBILITY IDEOGRAPH-FAA9;
774A FE01; CJK COMPATIBILITY IDEOGRAPH-2F948;
778B FE00; CJK COMPATIBILITY IDEOGRAPH-2F94A;
77A7 FE00; CJK COMPATIBILITY IDEOGRAPH-FA9D;
784E FE00; CJK COMPATIBILITY IDEOGRAPH-2F94E;
786B FE00; CJK COMPATIBILITY IDEOGRAPH-F9CE;
788C FE00; CJK COMPATIBILITY IDEOGRAPH-F93B;
788C FE01; CJK COMPATIBILITY IDEOGRAPH-2F94F;
7891 FE00; CJK COMPATIBILITY IDEOGRAPH-FA4B;
78CA FE00; CJK COMPATIBILITY IDEOGRAPH-F947;
78CC FE00; CJK COMPATIBILITY IDEOGRAPH-FAAB;
78CC FE01; CJK COMPATIBILITY IDEOGRAPH-2F950;
78FB FE00; CJK COMPATIBILITY IDEOGRAPH-F964;
792A FE00; CJK COMPATIBILITY IDEOGRAPH-F985;
793C FE00; CJK COMPATIBILITY IDEOGRAPH-FA18;
793E FE00; CJK COMPATIBILITY IDEOGRAPH-FA4C;
7948 FE00; CJK COMPATIBILITY IDEOGRAPH-FA4E;
7949 FE00; CJK COMPATIBILITY IDEOGRAPH-FA4D;
7950 FE00; CJK COMPATIBILITY IDEOGRAPH-FA4F;
7956 FE00; CJK COMPATIBILITY IDEOGRAPH-FA50;
7956 FE01; CJK COMPATIBILITY IDEOGRAPH-2F953;
795D FE00; CJK COMPATIBILITY IDEOGRAPH-FA51;
795E FE00; CJK COMPATIBILITY IDEOGRAPH-FA19;
7965 FE00; CJK COMPATIBILITY IDEOGRAPH-FA1A;
797F FE00; CJK COMPATIBILITY IDEOGRAPH-F93C;
798D FE00; CJK COMPATIBILITY IDEOGRAPH-FA52;
798E FE00; CJK COMPATIBILITY IDEOGRAPH-FA53;
798F FE00; CJK COMPATIBILITY IDEOGRAPH-FA1B;
798F FE01; CJK COMPATIBILITY IDEOGRAPH-2F956;
79AE FE00; CJK COMPATIBILITY IDEOGRAPH-F9B6;
79CA FE00; CJK COMPATIBILITY IDEOGRAPH-F995;
79EB FE00; CJK COMPATIBILITY IDEOGRAPH-2F957;
7A1C FE00; CJK COMPATIBILITY IDEOGRAPH-F956;
7A40 FE00; CJK COMPATIBILITY IDEOGRAPH-FA54;
7A40 FE01; CJK COMPATIBILITY IDEOGRAPH-2F959;
7A4A FE00; CJK COMPATIBILITY IDEOGRAPH-2F95A;
7A4F FE00; CJK COMPATIBILITY IDEOGRAPH-2F95B;
7A81 FE00; CJK COMPATIBILITY IDEOGRAPH-FA55;
7AB1 FE00; CJK COMPATIBILITY IDEOGRAPH-FAAC;
7ACB FE00; CJK COMPATIBILITY IDEOGRAPH-F9F7;
7AEE FE00; CJK COMPATIBILITY IDEOGRAPH-2F95F;
7B20 FE00; CJK COMPATIBILITY IDEOGRAPH-F9F8;
7BC0 FE00; CJK COMPATIBILITY IDEOGRAPH-FA56;
7BC0 FE01; CJK COMPATIBILITY IDEOGRAPH-FAAD;
7BC6 FE00; CJK COMPATIBILITY IDEOGRAPH-2F962;
7BC9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F963;
7C3E FE00; CJK COMPATIBILITY IDEOGRAPH-F9A6;
7C60 FE00; CJK COMPATIBILITY IDEOGRAPH-F944;
7C7B FE00; CJK COMPATIBILITY IDEOGRAPH-FAAE;
7C92 FE00; CJK COMPATIBILITY IDEOGRAPH-F9F9;
7CBE FE00; CJK COMPATIBILITY IDEOGRAPH-FA1D;
7CD2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F966;
7CD6 FE00; CJK COMPATIBILITY IDEOGRAPH-FA03;
7CE3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F969;
7CE7 FE00; CJK COMPATIBILITY IDEOGRAPH-F97B;
7CE8 FE00; CJK COMPATIBILITY IDEOGRAPH-2F968;
7D00 FE00; CJK COMPATIBILITY IDEOGRAPH-2F96A;
7D10 FE00; CJK COMPATIBILITY IDEOGRAPH-F9CF;
7D22 FE00; CJK COMPATIBILITY IDEOGRAPH-F96A;
7D2F FE00; CJK COMPATIBILITY IDEOGRAPH-F94F;
7D5B FE00; CJK COMPATIBILITY IDEOGRAPH-FAAF;
7D63 FE00; CJK COMPATIBILITY IDEOGRAPH-2F96C;
7DA0 FE00; CJK COMPATIBILITY IDEOGRAPH-F93D;
7DBE FE00; CJK COMPATIBILITY IDEOGRAPH-F957;
7DC7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F96E;
7DF4 FE00; CJK COMPATIBILITY IDEOGRAPH-F996;
7DF4 FE01; CJK COMPATIBILITY IDEOGRAPH-FA57;
7DF4 FE02; CJK COMPATIBILITY IDEOGRAPH-FAB0;
7E02 FE00; CJK COMPATIBILITY IDEOGRAPH-2F96F;
7E09 FE00; CJK COMPATIBILITY IDEOGRAPH-FA58;
7E37 FE00; CJK COMPATIBILITY IDEOGRAPH-F950;
7E41 FE00; CJK COMPATIBILITY IDEOGRAPH-FA59;
7E45 FE00; CJK COMPATIBILITY IDEOGRAPH-2F970;
7F3E FE00; CJK COMPATIBILITY IDEOGRAPH-FAB1;
7F72 FE00; CJK COMPATIBILITY IDEOGRAPH-FA5A;
7F79 FE00; CJK COMPATIBILITY IDEOGRAPH-F9E6;
7F7A FE00; CJK COMPATIBILITY IDEOGRAPH-2F976;
7F85 FE00; CJK COMPATIBILITY IDEOGRAPH-F90F;
7F95 FE00; CJK COMPATIBILITY IDEOGRAPH-2F978;
7F9A FE00; CJK COMPATIBILITY IDEOGRAPH-F9AF;
7FBD FE00; CJK COMPATIBILITY IDEOGRAPH-FA1E;
7FFA FE00; CJK COMPATIBILITY IDEOGRAPH-2F979;
8001 FE00; CJK COMPATIBILITY IDEOGRAPH-F934;
8005 FE00; CJK COMPATIBILITY IDEOGRAPH-FA5B;
8005 FE01; CJK COMPATIBILITY IDEOGRAPH-FAB2;
8005 FE02; CJK COMPATIBILITY IDEOGRAPH-2F97A;
8046 FE00; CJK COMPATIBILITY IDEOGRAPH-F9B0;
8060 FE00; CJK COMPATIBILITY IDEOGRAPH-2F97D;
806F FE00; CJK COMPATIBILITY IDEOGRAPH-F997;
8070 FE00; CJK COMPATIBILITY IDEOGRAPH-2F97F;
807E FE00; CJK COMPATIBILITY IDEOGRAPH-F945;
808B FE00; CJK COMPATIBILITY IDEOGRAPH-F953;
80AD FE00; CJK COMPATIBILITY IDEOGRAPH-2F8D6;
80B2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F982;
8103 FE00; CJK COMPATIBILITY IDEOGRAPH-2F983;
813E FE00; CJK COMPATIBILITY IDEOGRAPH-2F985;
81D8 FE00; CJK COMPATIBILITY IDEOGRAPH-F926;
81E8 FE00; CJK COMPATIBILITY IDEOGRAPH-F9F6;
81ED FE00; CJK COMPATIBILITY IDEOGRAPH-FA5C;
8201 FE00; CJK COMPATIBILITY IDEOGRAPH-2F893;
8201 FE01; CJK COMPATIBILITY IDEOGRAPH-2F98B;
8204 FE00; CJK COMPATIBILITY IDEOGRAPH-2F98C;
8218 FE00; CJK COMPATIBILITY IDEOGRAPH-FA6D;
826F FE00; CJK COMPATIBILITY IDEOGRAPH-F97C;
8279 FE00; CJK COMPATIBILITY IDEOGRAPH-FA5D;
8279 FE01; CJK COMPATIBILITY IDEOGRAPH-FA5E;
828B FE00; CJK COMPATIBILITY IDEOGRAPH-2F990;
8291 FE00; CJK COMPATIBILITY IDEOGRAPH-2F98F;
829D FE00; CJK COMPATIBILITY IDEOGRAPH-2F991;
82B1 FE00; CJK COMPATIBILITY IDEOGRAPH-2F993;
82B3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F994;
82BD FE00; CJK COMPATIBILITY IDEOGRAPH-2F995;
82E5 FE00; CJK COMPATIBILITY IDEOGRAPH-F974;
82E5 FE01; CJK COMPATIBILITY IDEOGRAPH-2F998;
82E6 FE00; CJK COMPATIBILITY IDEOGRAPH-2F996;
831D FE00; CJK COMPATIBILITY IDEOGRAPH-2F999;
8323 FE00; CJK COMPATIBILITY IDEOGRAPH-2F99C;
8336 FE00; CJK COMPATIBILITY IDEOGRAPH-F9FE;
8352 FE00; CJK COMPATIBILITY IDEOGRAPH-FAB3;
8353 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9A0;
8363 FE00; CJK COMPATIBILITY IDEOGRAPH-2F99A;
83AD FE00; CJK COMPATIBILITY IDEOGRAPH-2F99B;
83BD FE00; CJK COMPATIBILITY IDEOGRAPH-2F99D;
83C9 FE00; CJK COMPATIBILITY IDEOGRAPH-F93E;
83CA FE00; CJK COMPATIBILITY IDEOGRAPH-2F9A1;
83CC FE00; CJK COMPATIBILITY IDEOGRAPH-2F9A2;
83DC FE00; CJK COMPATIBILITY IDEOGRAPH-2F9A3;
83E7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F99E;
83EF FE00; CJK COMPATIBILITY IDEOGRAPH-FAB4;
83F1 FE00; CJK COMPATIBILITY IDEOGRAPH-F958;
843D FE00; CJK COMPATIBILITY IDEOGRAPH-F918;
8449 FE00; CJK COMPATIBILITY IDEOGRAPH-F96E;
8457 FE00; CJK COMPATIBILITY IDEOGRAPH-FA5F;
8457 FE01; CJK COMPATIBILITY IDEOGRAPH-2F99F;
84EE FE00; CJK COMPATIBILITY IDEOGRAPH-F999;
84F1 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9A8;
84F3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9A9;
84FC FE00; CJK COMPATIBILITY IDEOGRAPH-F9C2;
8516 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9AA;
8564 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9AC;
85CD FE00; CJK COMPATIBILITY IDEOGRAPH-F923;
85FA FE00; CJK COMPATIBILITY IDEOGRAPH-F9F0;
8606 FE00; CJK COMPATIBILITY IDEOGRAPH-F935;
8612 FE00; CJK COMPATIBILITY IDEOGRAPH-FA20;
862D FE00; CJK COMPATIBILITY IDEOGRAPH-F91F;
863F FE00; CJK COMPATIBILITY IDEOGRAPH-F910;
8650 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9B3;
865C FE00; CJK COMPATIBILITY IDEOGRAPH-F936;
865C FE01; CJK COMPATIBILITY IDEOGRAPH-2F9B4;
8667 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9B5;
8669 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9B6;
8688 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9B8;
86A9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9B7;
86E2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9BA;
870E FE00; CJK COMPATIBILITY IDEOGRAPH-2F9B9;
8728 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9BC;
876B FE00; CJK COMPATIBILITY IDEOGRAPH-2F9BD;
8779 FE00; CJK COMPATIBILITY IDEOGRAPH-FAB5;
8779 FE01; CJK COMPATIBILITY IDEOGRAPH-2F9BB;
8786 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9BE;
87BA FE00; CJK COMPATIBILITY IDEOGRAPH-F911;
87E1 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C0;
8801 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C1;
881F FE00; CJK COMPATIBILITY IDEOGRAPH-F927;
884C FE00; CJK COMPATIBILITY IDEOGRAPH-FA08;
8860 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C3;
8863 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C4;
88C2 FE00; CJK COMPATIBILITY IDEOGRAPH-F9A0;
88CF FE00; CJK COMPATIBILITY IDEOGRAPH-F9E7;
88D7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C6;
88DE FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C7;
88E1 FE00; CJK COMPATIBILITY IDEOGRAPH-F9E8;
88F8 FE00; CJK COMPATIBILITY IDEOGRAPH-F912;
88FA FE00; CJK COMPATIBILITY IDEOGRAPH-2F9C9;
8910 FE00; CJK COMPATIBILITY IDEOGRAPH-FA60;
8941 FE00; CJK COMPATIBILITY IDEOGRAPH-FAB6;
8964 FE00; CJK COMPATIBILITY IDEOGRAPH-F924;
8986 FE00; CJK COMPATIBILITY IDEOGRAPH-FAB7;
898B FE00; CJK COMPATIBILITY IDEOGRAPH-FA0A;
8996 FE00; CJK COMPATIBILITY IDEOGRAPH-FA61;
8996 FE01; CJK COMPATIBILITY IDEOGRAPH-FAB8;
8AA0 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9CF;
8AAA FE00; CJK COMPATIBILITY IDEOGRAPH-F96F;
8AAA FE01; CJK COMPATIBILITY IDEOGRAPH-F9A1;
8ABF FE00; CJK COMPATIBILITY IDEOGRAPH-FAB9;
8ACB FE00; CJK COMPATIBILITY IDEOGRAPH-FABB;
8AD2 FE00; CJK COMPATIBILITY IDEOGRAPH-F97D;
8AD6 FE00; CJK COMPATIBILITY IDEOGRAPH-F941;
8AED FE00; CJK COMPATIBILITY IDEOGRAPH-FABE;
8AED FE01; CJK COMPATIBILITY IDEOGRAPH-2F9D0;
8AF8 FE00; CJK COMPATIBILITY IDEOGRAPH-FA22;
8AF8 FE01; CJK COMPATIBILITY IDEOGRAPH-FABA;
8AFE FE00; CJK COMPATIBILITY IDEOGRAPH-F95D;
8AFE FE01; CJK COMPATIBILITY IDEOGRAPH-FABD;
8B01 FE00; CJK COMPATIBILITY IDEOGRAPH-FA62;
8B01 FE01; CJK COMPATIBILITY IDEOGRAPH-FABC;
8B39 FE00; CJK COMPATIBILITY IDEOGRAPH-FA63;
8B39 FE01; CJK COMPATIBILITY IDEOGRAPH-FABF;
8B58 FE00; CJK COMPATIBILITY IDEOGRAPH-F9FC;
8B80 FE00; CJK COMPATIBILITY IDEOGRAPH-F95A;
8B8A FE00; CJK COMPATIBILITY IDEOGRAPH-FAC0;
8B8A FE01; CJK COMPATIBILITY IDEOGRAPH-2F9D1;
8C48 FE00; CJK COMPATIBILITY IDEOGRAPH-F900;
8C55 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9D2;
8CAB FE00; CJK COMPATIBILITY IDEOGRAPH-2F9D4;
8CC1 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9D5;
8CC2 FE00; CJK COMPATIBILITY IDEOGRAPH-F948;
8CC8 FE00; CJK COMPATIBILITY IDEOGRAPH-F903;
8CD3 FE00; CJK COMPATIBILITY IDEOGRAPH-FA64;
8D08 FE00; CJK COMPATIBILITY IDEOGRAPH-FA65;
8D08 FE01; CJK COMPATIBILITY IDEOGRAPH-FAC1;
8D1B FE00; CJK COMPATIBILITY IDEOGRAPH-2F9D6;
8D77 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9D7;
8DBC FE00; CJK COMPATIBILITY IDEOGRAPH-2F9DB;
8DCB FE00; CJK COMPATIBILITY IDEOGRAPH-2F9DA;
8DEF FE00; CJK COMPATIBILITY IDEOGRAPH-F937;
8DF0 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9DC;
8ECA FE00; CJK COMPATIBILITY IDEOGRAPH-F902;
8ED4 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9DE;
8F26 FE00; CJK COMPATIBILITY IDEOGRAPH-F998;
8F2A FE00; CJK COMPATIBILITY IDEOGRAPH-F9D7;
8F38 FE00; CJK COMPATIBILITY IDEOGRAPH-FAC2;
8F38 FE01; CJK COMPATIBILITY IDEOGRAPH-2F9DF;
8F3B FE00; CJK COMPATIBILITY IDEOGRAPH-FA07;
8F62 FE00; CJK COMPATIBILITY IDEOGRAPH-F98D;
8F9E FE00; CJK COMPATIBILITY IDEOGRAPH-2F98D;
8FB0 FE00; CJK COMPATIBILITY IDEOGRAPH-F971;
8FB6 FE00; CJK COMPATIBILITY IDEOGRAPH-FA66;
9023 FE00; CJK COMPATIBILITY IDEOGRAPH-F99A;
9038 FE00; CJK COMPATIBILITY IDEOGRAPH-FA25;
9038 FE01; CJK COMPATIBILITY IDEOGRAPH-FA67;
9072 FE00; CJK COMPATIBILITY IDEOGRAPH-FAC3;
907C FE00; CJK COMPATIBILITY IDEOGRAPH-F9C3;
908F FE00; CJK COMPATIBILITY IDEOGRAPH-F913;
9094 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9E2;
90CE FE00; CJK COMPATIBILITY IDEOGRAPH-F92C;
90DE FE00; CJK COMPATIBILITY IDEOGRAPH-FA2E;
90F1 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9E3;
90FD FE00; CJK COMPATIBILITY IDEOGRAPH-FA26;
9111 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9E4;
911B FE00; CJK COMPATIBILITY IDEOGRAPH-2F9E6;
916A FE00; CJK COMPATIBILITY IDEOGRAPH-F919;
9199 FE00; CJK COMPATIBILITY IDEOGRAPH-FAC4;
91B4 FE00; CJK COMPATIBILITY IDEOGRAPH-F9B7;
91CC FE00; CJK COMPATIBILITY IDEOGRAPH-F9E9;
91CF FE00; CJK COMPATIBILITY IDEOGRAPH-F97E;
91D1 FE00; CJK COMPATIBILITY IDEOGRAPH-F90A;
9234 FE00; CJK COMPATIBILITY IDEOGRAPH-F9B1;
9238 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9E7;
9276 FE00; CJK COMPATIBILITY IDEOGRAPH-FAC5;
927C FE00; CJK COMPATIBILITY IDEOGRAPH-2F9EA;
92D7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9E8;
92D8 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9E9;
9304 FE00; CJK COMPATIBILITY IDEOGRAPH-F93F;
934A FE00; CJK COMPATIBILITY IDEOGRAPH-F99B;
93F9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9EB;
9415 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9EC;
958B FE00; CJK COMPATIBILITY IDEOGRAPH-2F9EE;
95AD FE00; CJK COMPATIBILITY IDEOGRAPH-F986;
95B7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9F0;
962E FE00; CJK COMPATIBILITY IDEOGRAPH-F9C6;
964B FE00; CJK COMPATIBILITY IDEOGRAPH-F951;
964D FE00; CJK COMPATIBILITY IDEOGRAPH-FA09;
9675 FE00; CJK COMPATIBILITY IDEOGRAPH-F959;
9678 FE00; CJK COMPATIBILITY IDEOGRAPH-F9D3;
967C FE00; CJK COMPATIBILITY IDEOGRAPH-FAC6;
9686 FE00; CJK COMPATIBILITY IDEOGRAPH-F9DC;
